,avg,std
A1BG,0.10281352847135618,0.12179159231758956
A1CF,0.06765449775676333,0.12107128958685384
A2M,-0.060770475252466066,0.10820426670193062
A2ML1,0.17429133772365735,0.11338664359341856
A3GALT2,-0.056551164765915346,0.13663513009917672
A4GALT,-0.044230990771686116,0.12299762488526643
A4GNT,0.1046862700025164,0.11648534992517794
AAAS,-0.513839684330599,0.17966540125355748
AACS,0.06949666961344851,0.12865396544428842
AADAC,0.14434301465916408,0.1353143992390119
AADACL2,0.1527379636013105,0.10654909587264258
AADACL3,-0.022873811132269054,0.1184776802964009
AADACL4,-0.03010834191569928,0.12122249550508643
AADAT,0.047441842118805304,0.10346913437298477
AAED1,-0.031672331822273435,0.13041893098977564
AAGAB,0.0035275817000369174,0.13614249753385796
AAK1,-0.30881069693255375,0.12818547569127353
AAMDC,-0.03592268856341092,0.13090712108172306
AAMP,-0.8024122129646685,0.20218245930458492
AANAT,-0.18893300274623107,0.11871200614244395
AAR2,-0.05341552651958387,0.14588740946481385
AARD,-0.21136223388241834,0.13576506844143718
AARS,-1.7056676856178925,0.18793260080689475
AARS2,-0.7637854149794504,0.22460874180983859
AARSD1,-0.24963611846979858,0.1321320147324826
AASDH,-0.055918155862175196,0.12150560788140001
AASDHPPT,-0.5599170385343779,0.2107606480106548
AASS,0.13757422321850815,0.11429931793318505
AATF,-0.6469619907499404,0.16321460618291955
AATK,-0.1688102904094023,0.13053634687446367
ABAT,-0.07705352767949981,0.13959957471575157
ABCA1,-0.025234916414269042,0.13028235554605377
ABCA10,0.22502256109766172,0.09568614121091173
ABCA12,-0.08422978290076527,0.13374610468177825
ABCA13,-0.017184923434692505,0.11702747372898432
ABCA2,-0.020657660141681636,0.13269237233316028
ABCA3,-0.044470721304838985,0.11978798000701228
ABCA4,-0.1239422763925273,0.12688511385456594
ABCA5,-0.0886518304259497,0.11688724900525534
ABCA6,0.1737284933212984,0.11960870134303539
ABCA7,0.063691956086861,0.12728356986761297
ABCA8,-0.03697030498410322,0.13641957254680345
ABCA9,0.15982916485641557,0.11590004125722547
ABCB1,-0.06938308640720751,0.11111244823409984
ABCB10,-0.4647321607406642,0.16498912748479166
ABCB11,0.006619410662232037,0.11217727794145149
ABCB4,-0.01876966133706385,0.13073991479200797
ABCB5,-0.019661544097387126,0.11399329860554144
ABCB6,-0.07260157427291644,0.12375062780229805
ABCB7,-1.1286906730317636,0.23435464925664382
ABCB8,0.07938540739922041,0.13353405590332104
ABCB9,-0.11352468110412128,0.10822242276754888
ABCC1,0.045210609860493474,0.12768352292436755
ABCC10,-0.1753782635941289,0.12491849078085838
ABCC11,0.11195291723302316,0.12386294208556328
ABCC12,0.11623951405100928,0.10867267503868226
ABCC2,-0.014420468145291469,0.1071418941445321
ABCC3,-0.24857311480921926,0.13133116463026331
ABCC4,0.05318133637974555,0.13919169219481112
ABCC5,0.12276762840524941,0.11716463849765568
ABCC6,-0.16346806130028926,0.1717018405250416
ABCC8,0.0073919510818224845,0.10405433085592938
ABCC9,0.02639700024252485,0.11409483214519553
ABCD1,-0.19271630501480594,0.17241549769230727
ABCD2,0.03344635143569567,0.12440006409027107
ABCD3,-0.13874186565972832,0.14114659753151818
ABCD4,-0.21763394834875832,0.14584943989164262
ABCE1,-1.1035428478357021,0.18520128900292523
ABCF1,-0.9279504645253009,0.19093498361121006
ABCF2,-0.17840985514713475,0.14571675547718016
ABCF3,0.024715539291921787,0.12689549531673333
ABCG1,-0.5363402694322996,0.20697099150545373
ABCG2,0.1363246791692703,0.11269820138681781
ABCG4,0.006609229123110839,0.11104541015165975
ABCG5,-0.014476834257990762,0.11583849856288106
ABCG8,0.0036865258185393313,0.1226632850000761
ABHD1,-0.0038381553206878376,0.11983456394814883
ABHD10,0.030701126616750677,0.12726022788124502
ABHD11,-0.642656418894467,0.17336153286101993
ABHD12,-0.021286483539889104,0.13241786729221833
ABHD12B,-0.08832451651399018,0.12834134132416483
ABHD13,-0.30151758873579315,0.12452017333004457
ABHD14A,-0.033207049842225916,0.11165205782346985
ABHD14B,-0.02037941962286984,0.1379532866266819
ABHD15,-0.1728109642593041,0.17235776751412493
ABHD16A,-0.17153274413195851,0.13100879617497788
ABHD16B,-0.010815056258673024,0.13874856950200182
ABHD17A,-0.4947330270916392,0.16029054841424717
ABHD17B,0.1395208076462665,0.10624552080170935
ABHD17C,0.09380048571460108,0.1237539297147369
ABHD18,0.10318050191239357,0.16321277059445793
ABHD2,-0.1447169245295835,0.14124394824032235
ABHD3,-0.04710339435290333,0.12345145234174597
ABHD4,0.053923865409771524,0.11692462725664143
ABHD5,-0.026705477692879422,0.09084793765186765
ABHD6,0.03869653088512776,0.09764893919656392
ABHD8,-0.04961930667631478,0.12035901106255653
ABI1,-0.06170769863013344,0.16426824328971493
ABI2,0.07204837713435502,0.11430064702558318
ABI3,0.069253813744949,0.11631885120902721
ABI3BP,0.13654958420956897,0.11360132468047693
