gene,gene_category
FOXD4L4,common nonessential
FOXE3,common nonessential
FOXN1,common nonessential
FOXR1,common nonessential
FRG2,common nonessential
FSCB,common nonessential
FUT5,common nonessential
FUT9,common nonessential
G6PC,common nonessential
GABRA1,common nonessential
GABRA6,common nonessential
GALNTL5,common nonessential
GALR1,common nonessential
GALR3,common nonessential
GBP7,common nonessential
GCG,common nonessential
GCM2,common nonessential
GDF2,common nonessential
GFRA4,common nonessential
GFRAL,common nonessential
GH2,common nonessential
GHRH,common nonessential
GHSR,common nonessential
GIF,common nonessential
GJA10,common nonessential
GJA8,common nonessential
GK2,common nonessential
GKN2,common nonessential
GLRA1,common nonessential
GLT6D1,common nonessential
GML,common nonessential
GOT1L1,common nonessential
GPR139,common nonessential
GPR148,common nonessential
GPR151,common nonessential
GPR152,common nonessential
GPR26,common nonessential
GPR31,common nonessential
GPR32,common nonessential
GPR45,common nonessential
GPR52,common nonessential
GPR78,common nonessential
GPRC6A,common nonessential
GPX5,common nonessential
GPX6,common nonessential
GRM4,common nonessential
GRM5,common nonessential
GRM6,common nonessential
GSC2,common nonessential
GSTA5,common nonessential
GSX1,common nonessential
GSX2,common nonessential
GUCA2A,common nonessential
H1FOO,common nonessential
HAO1,common nonessential
HCRTR2,common nonessential
HDGFL1,common nonessential
HIST1H2AA,common nonessential
HIST1H2BA,common nonessential
HIST1H4G,common nonessential
HMX1,common nonessential
HOXB1,common nonessential
HOXD12,common nonessential
HRG,common nonessential
HRH3,common nonessential
HTN3,common nonessential
HTR1A,common nonessential
HTR3C,common nonessential
HTR3D,common nonessential
HTR3E,common nonessential
HTR5A,common nonessential
HTR6,common nonessential
IAPP,common nonessential
IFIT1B,common nonessential
IFNA10,common nonessential
IFNA14,common nonessential
IFNA16,common nonessential
IFNA17,common nonessential
IFNA2,common nonessential
IFNA21,common nonessential
IFNA4,common nonessential
IFNA5,common nonessential
IFNA6,common nonessential
IFNA7,common nonessential
IFNA8,common nonessential
IFNB1,common nonessential
IFNK,common nonessential
IFNW1,common nonessential
IL12B,common nonessential
IL13,common nonessential
IL17A,common nonessential
IL17F,common nonessential
IL1F10,common nonessential
IL21,common nonessential
IL22,common nonessential
IL25,common nonessential
IL26,common nonessential
IL3,common nonessential
IL31,common nonessential
IL36A,common nonessential
IL36B,common nonessential
IL36RN,common nonessential
IL9,common nonessential
INS,common nonessential
INSL5,common nonessential
INSL6,common nonessential
INSM2,common nonessential
INSRR,common nonessential
IQCF1,common nonessential
IRGC,common nonessential
ISX,common nonessential
IZUMO2,common nonessential
KCNA10,common nonessential
KCNB2,common nonessential
KCNG4,common nonessential
KCNK10,common nonessential
KCNK16,common nonessential
KCNK18,common nonessential
KCNV1,common nonessential
KHDC3L,common nonessential
KIF2B,common nonessential
KIR2DL1,common nonessential
KIR3DL3,common nonessential
KLK12,common nonessential
KLK9,common nonessential
KRT2,common nonessential
KRT25,common nonessential
KRT26,common nonessential
KRT28,common nonessential
KRT33A,common nonessential
KRT35,common nonessential
KRT36,common nonessential
KRT37,common nonessential
KRT38,common nonessential
KRT40,common nonessential
KRT71,common nonessential
KRT73,common nonessential
KRT74,common nonessential
KRT75,common nonessential
KRT76,common nonessential
KRT77,common nonessential
KRT78,common nonessential
KRT82,common nonessential
KRT84,common nonessential
KRT85,common nonessential
KRT86,common nonessential
KRT9,common nonessential
KRTAP1-1,common nonessential
KRTAP10-1,common nonessential
KRTAP10-10,common nonessential
KRTAP10-11,common nonessential
KRTAP10-12,common nonessential
KRTAP10-2,common nonessential
KRTAP10-4,common nonessential
KRTAP10-5,common nonessential
KRTAP10-6,common nonessential
KRTAP10-8,common nonessential
KRTAP10-9,common nonessential
KRTAP11-1,common nonessential
KRTAP13-1,common nonessential
KRTAP13-2,common nonessential
KRTAP13-3,common nonessential
KRTAP13-4,common nonessential
KRTAP15-1,common nonessential
KRTAP17-1,common nonessential
KRTAP19-3,common nonessential
KRTAP23-1,common nonessential
KRTAP26-1,common nonessential
KRTAP3-2,common nonessential
KRTAP4-11,common nonessential
KRTAP4-12,common nonessential
KRTAP4-2,common nonessential
KRTAP4-4,common nonessential
KRTAP4-7,common nonessential
KRTAP5-2,common nonessential
KRTAP9-2,common nonessential
KRTAP9-3,common nonessential
KRTAP9-4,common nonessential
LALBA,common nonessential
LBX1,common nonessential
LCN9,common nonessential
LCT,common nonessential
LGALS13,common nonessential
LGALS14,common nonessential
LHFPL5,common nonessential
LHX3,common nonessential
LHX5,common nonessential
LIM2,common nonessential
LIN28A,common nonessential
LIPM,common nonessential
LOR,common nonessential
LRIT1,common nonessential
LRIT2,common nonessential
LRRC10,common nonessential
LYZL1,common nonessential
LYZL6,common nonessential
MAS1,common nonessential
MAS1L,common nonessential
MBD3L1,common nonessential
MBD3L2,common nonessential
MBL2,common nonessential
MC2R,common nonessential
MC3R,common nonessential
MC5R,common nonessential
MEP1A,common nonessential
MEP1B,common nonessential
MEPE,common nonessential
MFRP,common nonessential
MMD2,common nonessential
MMP20,common nonessential
MMP21,common nonessential
MMP26,common nonessential
MMP27,common nonessential
MOGAT3,common nonessential
MORC1,common nonessential
MRGPRD,common nonessential
MRGPRX1,common nonessential
MRGPRX2,common nonessential
MRGPRX4,common nonessential
MS4A10,common nonessential
MS4A13,common nonessential
MS4A5,common nonessential
MSGN1,common nonessential
MT1B,common nonessential
MTNR1B,common nonessential
MUC17,common nonessential
MUC7,common nonessential
MYBPC3,common nonessential
MYF5,common nonessential
NANOGNB,common nonessential
NANOS2,common nonessential
NCR2,common nonessential
NDST4,common nonessential
NEUROD2,common nonessential
NEUROD4,common nonessential
NEUROD6,common nonessential
NEUROG1,common nonessential
NKX2-1,common nonessential
NKX2-2,common nonessential
NLRP4,common nonessential
NLRP5,common nonessential
NLRP8,common nonessential
NLRP9,common nonessential
NMS,common nonessential
NOTO,common nonessential
NOX3,common nonessential
NPFFR1,common nonessential
NPHS2,common nonessential
NPSR1,common nonessential
NPVF,common nonessential
NR2E1,common nonessential
OC90,common nonessential
OLIG2,common nonessential
OLIG3,common nonessential
OPALIN,common nonessential
OPN5,common nonessential
OR10A2,common nonessential
OR10A4,common nonessential
OR10A5,common nonessential
OR10H1,common nonessential
OR10H2,common nonessential
OR10H3,common nonessential
OR10J1,common nonessential
OR10R2,common nonessential
OR10S1,common nonessential
OR10Z1,common nonessential
OR11A1,common nonessential
OR12D3,common nonessential
OR13C3,common nonessential
OR13D1,common nonessential
OR14A16,common nonessential
OR1A1,common nonessential
OR1A2,common nonessential
OR1D2,common nonessential
OR1E1,common nonessential
OR1E2,common nonessential
OR1G1,common nonessential
OR1L6,common nonessential
OR1N2,common nonessential
OR1S2,common nonessential
OR2AK2,common nonessential
OR2AT4,common nonessential
OR2C1,common nonessential
OR2C3,common nonessential
OR2D2,common nonessential
OR2D3,common nonessential
OR2G2,common nonessential
OR2G3,common nonessential
OR2H1,common nonessential
OR2J2,common nonessential
OR2L3,common nonessential
OR2T1,common nonessential
OR2T10,common nonessential
OR2T12,common nonessential
OR2T2,common nonessential
OR2T27,common nonessential
OR2T33,common nonessential
OR2T4,common nonessential
OR2T5,common nonessential
OR2W1,common nonessential
OR3A1,common nonessential
OR3A2,common nonessential
OR3A3,common nonessential
OR4C11,common nonessential
OR4C3,common nonessential
OR4D1,common nonessential
OR4D10,common nonessential
OR4D11,common nonessential
OR4D9,common nonessential
OR4K17,common nonessential
OR51B6,common nonessential
OR51D1,common nonessential
OR51F2,common nonessential
OR51T1,common nonessential
OR51V1,common nonessential
OR52A1,common nonessential
OR52A5,common nonessential
OR52B2,common nonessential
OR52B6,common nonessential
OR52E8,common nonessential
OR52I2,common nonessential
OR52K2,common nonessential
OR52L1,common nonessential
OR52M1,common nonessential
OR52W1,common nonessential
OR56A1,common nonessential
OR56A4,common nonessential
OR56B1,common nonessential
OR5AU1,common nonessential
OR5C1,common nonessential
OR5I1,common nonessential
OR5M1,common nonessential
OR5M10,common nonessential
OR5P2,common nonessential
OR5P3,common nonessential
OR5T1,common nonessential
OR5T2,common nonessential
OR5T3,common nonessential
OR5V1,common nonessential
OR5W2,common nonessential
OR6A2,common nonessential
OR6K6,common nonessential
OR6S1,common nonessential
OR6V1,common nonessential
OR7A17,common nonessential
OR7C2,common nonessential
OR7D4,common nonessential
OR7G2,common nonessential
OR8A1,common nonessential
OR8B8,common nonessential
OR8G5,common nonessential
OR8U1,common nonessential
OR9Q2,common nonessential
OTOP1,common nonessential
OTOP3,common nonessential
OTOR,common nonessential
OTP,common nonessential
OTX2,common nonessential
PANX3,common nonessential
PAX1,common nonessential
PAX4,common nonessential
PBOV1,common nonessential
PDCL2,common nonessential
PDE6H,common nonessential
PDILT,common nonessential
PDX1,common nonessential
PDYN,common nonessential
PGK2,common nonessential
PGLYRP2,common nonessential
PGLYRP3,common nonessential
PIWIL1,common nonessential
PIWIL3,common nonessential
PLA2G2E,common nonessential
PLA2G2F,common nonessential
PLA2G4E,common nonessential
PNLIP,common nonessential
PNLIPRP1,common nonessential
PNPLA5,common nonessential
POM121L12,common nonessential
POTED,common nonessential
POTEG,common nonessential
POTEH,common nonessential
POU4F2,common nonessential
POU4F3,common nonessential
POU5F2,common nonessential
PPP3R2,common nonessential
PRAMEF1,common nonessential
PRAMEF2,common nonessential
PRAMEF4,common nonessential
PRAMEF7,common nonessential
PRB1,common nonessential
PRB4,common nonessential
PRDM13,common nonessential
PRDM14,common nonessential
PRDM7,common nonessential
PRDM9,common nonessential
PRG3,common nonessential
PRLH,common nonessential
PRLHR,common nonessential
PROP1,common nonessential
PRSS33,common nonessential
PRSS37,common nonessential
PRSS38,common nonessential
PRSS55,common nonessential
PRSS58,common nonessential
PSKH2,common nonessential
PTF1A,common nonessential
RAX,common nonessential
RAX2,common nonessential
RBM46,common nonessential
RBMXL2,common nonessential
RBP3,common nonessential
RBPJL,common nonessential
RD3,common nonessential
RDH8,common nonessential
REG3A,common nonessential
RESP18,common nonessential
RETNLB,common nonessential
RFPL3,common nonessential
RFPL4B,common nonessential
RFX6,common nonessential
RHO,common nonessential
RNASE10,common nonessential
RNASE11,common nonessential
RNASE12,common nonessential
RNASE13,common nonessential
RNASE8,common nonessential
RNASE9,common nonessential
RND2,common nonessential
RNF113B,common nonessential
RNF17,common nonessential
RP1,common nonessential
RP1L1,common nonessential
RPE65,common nonessential
RPTN,common nonessential
RTP1,common nonessential
RTP2,common nonessential
RXFP2,common nonessential
RXFP3,common nonessential
S100A7A,common nonessential
SAMD7,common nonessential
SCGB1D1,common nonessential
SCN10A,common nonessential
SCRT2,common nonessential
SDR9C7,common nonessential
SEC14L3,common nonessential
SEMG2,common nonessential
SEPT14,common nonessential
SERPINA12,common nonessential
SERPINA9,common nonessential
SERPINB12,common nonessential
SHCBP1L,common nonessential
SI,common nonessential
SIGLECL1,common nonessential
SIX6,common nonessential
SLC10A2,common nonessential
SLC13A1,common nonessential
SLC17A2,common nonessential
SLC17A6,common nonessential
SLC18A3,common nonessential
SLC22A12,common nonessential
SLC22A13,common nonessential
SLC22A25,common nonessential
SLC22A6,common nonessential
SLC22A8,common nonessential
SLC22A9,common nonessential
SLC25A2,common nonessential
SLC25A31,common nonessential
SLC2A2,common nonessential
SLC2A7,common nonessential
SLC32A1,common nonessential
SLC34A1,common nonessential
SLC36A3,common nonessential
SLC39A12,common nonessential
SLC6A18,common nonessential
SLC6A5,common nonessential
SLC6A7,common nonessential
SLC7A13,common nonessential
SLCO1B1,common nonessential
SLCO6A1,common nonessential
SLITRK1,common nonessential
SOHLH1,common nonessential
SOX1,common nonessential
SOX14,common nonessential
SP8,common nonessential
SPACA1,common nonessential
SPACA7,common nonessential
SPATA16,common nonessential
SPATA21,common nonessential
SPEM1,common nonessential
SPHAR,common nonessential
SPINK14,common nonessential
SPO11,common nonessential
SPPL2C,common nonessential
SPRR4,common nonessential
SSTR4,common nonessential
STATH,common nonessential
SULT6B1,common nonessential
SUN5,common nonessential
TAAR1,common nonessential
TAAR2,common nonessential
TAAR5,common nonessential
TAAR6,common nonessential
TAAR8,common nonessential
TAS1R2,common nonessential
TAS2R1,common nonessential
TAS2R13,common nonessential
TAS2R16,common nonessential
TAS2R39,common nonessential
TAS2R40,common nonessential
TAS2R41,common nonessential
TAS2R42,common nonessential
TAS2R43,common nonessential
TAS2R46,common nonessential
TAS2R50,common nonessential
TAS2R60,common nonessential
TAS2R7,common nonessential
TAS2R8,common nonessential
TAS2R9,common nonessential
TBC1D21,common nonessential
TBPL2,common nonessential
TBR1,common nonessential
TBX10,common nonessential
TCHHL1,common nonessential
TCP10L2,common nonessential
TEDDM1,common nonessential
TEX101,common nonessential
TFAP2D,common nonessential
TGM6,common nonessential
TKTL2,common nonessential
TLX1,common nonessential
TMEM132D,common nonessential
TMEM174,common nonessential
TMEM207,common nonessential
TMEM225,common nonessential
TMIGD1,common nonessential
TMPRSS11A,common nonessential
TMPRSS11B,common nonessential
TMPRSS11F,common nonessential
TMPRSS12,common nonessential
TMPRSS15,common nonessential
TNR,common nonessential
TPD52L3,common nonessential
TPH2,common nonessential
TPRX1,common nonessential
TPTE,common nonessential
TREML4,common nonessential
TRHR,common nonessential
TRIM40,common nonessential
TRIM42,common nonessential
TRIM43,common nonessential
TRIM48,common nonessential
TRIM60,common nonessential
TRIM67,common nonessential
TRIML1,common nonessential
TRPC7,common nonessential
TRPM1,common nonessential
TRPV5,common nonessential
TSGA13,common nonessential
TSHB,common nonessential
TSPAN16,common nonessential
TSPO2,common nonessential
TSPYL6,common nonessential
TSSK1B,common nonessential
TSSK2,common nonessential
TXNDC8,common nonessential
TYR,common nonessential
UBQLN3,common nonessential
UMOD,common nonessential
UROC1,common nonessential
USP29,common nonessential
UTS2R,common nonessential
VAX1,common nonessential
VN1R2,common nonessential
VN1R4,common nonessential
VPREB1,common nonessential
VRTN,common nonessential
VSX2,common nonessential
WFDC10A,common nonessential
WFDC11,common nonessential
WFDC9,common nonessential
XKR7,common nonessential
ZG16,common nonessential
ZIM3,common nonessential
ZNF648,common nonessential
ZNF679,common nonessential
ZNF804B,common nonessential
ZNRF4,common nonessential
ZP2,common nonessential
ZP4,common nonessential
ZSWIM2,common nonessential
